numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20200901000000;102090;0;0;70;1.400000;284.550000;283.750000;95;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;101220;mq;mq;80;mq;mq;mq;mq;283.350000;mq;mq;1.900000;1.900000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20200901000000;102090;20;1;20;3.200000;287.050000;282.450000;74;60000;0;mq;mq;100;8;1750;mq;mq;mq;101520;mq;mq;210;mq;mq;mq;mq;284.950000;mq;mq;4.300000;4.800000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;mq;1680;8;mq;2220;mq;mq;mq;mq;mq;mq;
07020;20200901000000;102080;-10;5;120;3.000000;283.250000;279.250000;76;18000;1;0;mq;10;0;7000;30;20;14;101970;mq;mq;-10;mq;mq;mq;mq;mq;mq;mq;3.200000;3.900000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;0;7000;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20200901000000;102110;-20;7;140;1.900000;284.450000;281.450000;82;60000;0;mq;mq;mq;0;mq;mq;mq;mq;101300;mq;mq;-20;mq;mq;mq;mq;285.150000;mq;mq;2.600000;2.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07037;20200901000000;102110;-30;7;20;1.400000;282.650000;281.450000;92;17130;0;mq;mq;mq;0;mq;mq;mq;mq;100260;mq;mq;30;mq;mq;mq;mq;282.850000;mq;mq;1.700000;2.400000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07072;20200901000000;101990;-10;8;320;1.100000;282.150000;280.750000;91;20000;0;mq;mq;mq;0;mq;mq;mq;mq;100830;mq;mq;200;mq;mq;mq;mq;281.150000;mq;mq;1.500000;1.700000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07110;20200901000000;102020;-50;7;100;2.300000;282.250000;281.650000;96;51060;0;mq;mq;75;6;2250;mq;mq;mq;100820;mq;mq;-250;mq;mq;mq;mq;285.250000;mq;mq;2.900000;2.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;6;mq;2220;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07117;20200901000000;102050;-20;6;100;2.600000;287.550000;283.350000;76;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101350;mq;mq;-170;mq;mq;mq;mq;mq;mq;mq;4.100000;4.700000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20200901000000;102040;0;0;320;0.900000;284.750000;283.150000;90;17280;0;mq;mq;mq;0;mq;mq;mq;mq;101590;mq;mq;-160;mq;mq;mq;mq;281.550000;mq;mq;1.700000;2.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20200901000000;102070;0;4;10;1.600000;285.150000;281.950000;81;20000;0;mq;mq;90;7;1250;mq;mq;mq;100320;mq;mq;-30;mq;mq;mq;mq;288.750000;mq;mq;2.500000;2.600000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;7;mq;1470;7;mq;1860;mq;mq;mq;mq;mq;mq;
07149;20200901000000;102050;-10;8;340;1.600000;285.750000;282.550000;81;30000;1;0;0;0;0;mq;30;20;10;100960;mq;mq;120;mq;mq;mq;mq;mq;mq;mq;2.400000;3.100000;-10;0;0.000000;0.000000;-60;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
