numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20200801000000;101540;90;1;280;3.900000;290.650000;289.850000;95;19260;0;mq;mq;mq;mq;mq;mq;mq;mq;100690;mq;mq;-70;mq;mq;mq;mq;291.250000;mq;mq;5.500000;9.300000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20200801000000;101400;90;2;250;3.100000;293.850000;287.450000;67;53380;0;mq;mq;75;6;4440;mq;mq;mq;100850;mq;mq;-280;mq;mq;mq;mq;293.950000;mq;mq;5.300000;7.500000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;4;mq;4440;5;mq;5040;6;mq;5700;mq;mq;mq;
07020;20200801000000;101600;130;2;250;5.100000;290.250000;289.750000;97;8000;1;2;mq;75;6;800;31;23;mq;101490;mq;mq;380;mq;mq;mq;mq;mq;mq;mq;7.200000;7.600000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;4;8;800;5;3;2500;mq;mq;mq;mq;mq;mq;
07027;20200801000000;101650;100;1;280;4.300000;292.450000;290.250000;87;60000;0;mq;mq;100;8;250;mq;mq;mq;100860;mq;mq;240;mq;mq;mq;mq;291.950000;mq;mq;6.700000;6.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;270;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07037;20200801000000;101590;110;1;310;3.400000;290.950000;289.250000;90;19630;0;mq;mq;mq;3;450;mq;mq;mq;99810;mq;mq;30;mq;mq;mq;mq;291.450000;mq;mq;4.800000;4.800000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.200000;0.200000;mq;mq;mq;mq;3;mq;330;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07072;20200801000000;101520;250;3;180;5.600000;295.550000;291.550000;78;20000;61;mq;mq;100;2;1250;mq;mq;mq;100420;mq;mq;-90;mq;mq;mq;mq;293.250000;mq;mq;7.900000;16.600000;-10;2;mq;mq;mq;2.600000;2.600000;2.600000;2.600000;mq;mq;mq;mq;mq;2;mq;1410;3;mq;1920;6;mq;2880;mq;9;mq;
07110;20200801000000;101750;70;1;220;1.900000;289.750000;289.250000;97;15860;0;mq;mq;100;8;250;mq;mq;mq;100590;mq;mq;640;mq;mq;mq;mq;289.450000;mq;mq;2.900000;5.000000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.600000;1.000000;1.000000;mq;mq;mq;mq;8;mq;210;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07117;20200801000000;101710;100;1;220;3.400000;289.250000;288.750000;97;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101020;mq;mq;610;mq;mq;mq;mq;mq;mq;mq;4.600000;5.300000;-10;mq;mq;mq;mq;0.000000;0.200000;0.400000;0.400000;0.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20200801000000;101720;100;1;270;1.200000;293.450000;290.650000;84;42810;0;mq;mq;100;8;450;mq;mq;mq;101290;mq;mq;540;mq;mq;mq;mq;292.350000;mq;mq;2.000000;3.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;450;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20200801000000;101630;140;1;240;1.100000;292.450000;288.150000;76;20000;0;mq;mq;mq;5;6960;mq;mq;mq;99940;mq;mq;200;mq;mq;mq;mq;293.250000;mq;mq;2.000000;2.000000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;5;mq;6960;mq;mq;mq;mq;mq;mq;mq;mq;mq;
