numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20201001000000;100370;-240;8;160;3.100000;287.650000;286.050000;90;17330;61;mq;mq;mq;mq;mq;mq;mq;mq;99520;mq;mq;-1240;mq;mq;mq;mq;286.850000;mq;mq;6.000000;6.000000;-10;2;mq;mq;mq;0.200000;1.600000;1.600000;1.600000;3.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20201001000000;100450;-260;8;150;4.500000;288.550000;286.050000;85;46410;0;mq;mq;100;8;3000;mq;mq;mq;99900;mq;mq;-1160;mq;mq;mq;mq;287.550000;mq;mq;6.700000;7.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;3000;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07020;20201001000000;100160;-90;6;280;8.400000;288.250000;283.850000;75;14000;1;2;mq;60;4;1250;32;20;14;100050;mq;mq;-1360;mq;mq;mq;mq;mq;mq;mq;11.000000;11.000000;-10;mq;mq;mq;mq;0.000000;0.000000;2.800000;9.100000;9.100000;mq;mq;mq;mq;4;8;1000;3;0;6500;mq;mq;mq;mq;mq;mq;
07027;20201001000000;100230;-210;6;200;5.600000;287.550000;286.250000;92;3830;61;mq;mq;100;8;450;mq;mq;mq;99440;mq;mq;-1370;mq;mq;mq;mq;287.050000;mq;mq;8.100000;9.000000;-10;2;0.000000;mq;mq;1.000000;1.000000;3.200000;4.800000;5.000000;mq;mq;mq;mq;6;mq;480;7;mq;810;8;mq;1170;mq;8;mq;
07037;20201001000000;100400;-240;6;160;5.100000;286.950000;286.150000;95;41720;0;mq;mq;100;7;800;mq;mq;mq;98610;mq;mq;-1220;mq;mq;mq;mq;287.050000;mq;mq;6.800000;7.400000;-10;mq;0.000000;mq;mq;0.600000;1.000000;1.000000;1.000000;1.400000;mq;mq;mq;mq;4;mq;630;4;mq;780;7;mq;1140;mq;8;mq;
07072;20201001000000;100720;-230;8;130;4.100000;287.050000;285.450000;90;20000;0;mq;mq;mq;5;5880;mq;mq;mq;99600;mq;mq;-1010;mq;mq;mq;mq;285.750000;mq;mq;5.300000;5.300000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;5;mq;5880;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07110;20201001000000;100510;-30;7;280;1.500000;283.950000;283.150000;95;17630;60;mq;mq;100;8;1750;mq;mq;mq;99340;mq;mq;-1060;mq;mq;mq;mq;276.950000;mq;mq;2.400000;8.100000;-10;2;0.000000;mq;mq;1.000000;1.000000;1.200000;22.400000;22.600000;mq;mq;mq;mq;5;mq;1740;8;mq;2280;mq;mq;mq;mq;mq;mq;
07117;20201001000000;100390;-30;8;280;6.200000;286.250000;283.050000;81;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;99700;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;10.800000;-10;mq;mq;mq;mq;mq;0.000000;0.600000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20201001000000;100390;-100;6;210;1.200000;286.550000;285.950000;96;59810;0;mq;mq;100;3;1250;mq;mq;mq;99950;mq;mq;-1290;mq;mq;mq;mq;286.650000;mq;mq;2.200000;6.900000;-10;2;0.000000;mq;mq;0.400000;6.700000;9.900000;16.800000;21.400000;mq;mq;mq;mq;3;mq;1350;7;mq;1620;8;mq;2040;mq;mq;mq;
07139;20201001000000;100400;-260;6;180;4.900000;287.450000;286.150000;92;20000;58;mq;mq;100;8;250;mq;mq;mq;98700;mq;mq;-1270;mq;mq;mq;mq;288.350000;mq;mq;8.900000;9.300000;-10;1;0.000000;mq;mq;-0.100000;1.200000;1.400000;1.400000;1.800000;mq;mq;mq;mq;7;mq;270;8;mq;390;mq;mq;mq;mq;mq;mq;
07149;20201001000000;100590;-290;8;180;3.300000;288.150000;285.850000;86;27940;61;6;2;100;8;1750;35;27;mq;99530;mq;mq;-1130;mq;mq;mq;mq;mq;mq;mq;5.700000;6.600000;-10;1;0.000000;0.000000;-60;0.200000;0.200000;0.200000;0.200000;0.400000;mq;mq;mq;mq;3;6;1800;7;3;3000;mq;mq;mq;mq;mq;mq;
