numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20201201000000;101940;-40;6;320;7.800000;282.150000;279.550000;84;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;101060;mq;mq;-840;mq;mq;mq;mq;280.250000;mq;mq;11.600000;16.400000;-10;1;0.000000;mq;mq;1.600000;1.800000;5.200000;5.400000;5.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20201201000000;101750;-60;6;290;6.200000;280.750000;279.850000;94;43500;0;mq;mq;90;7;800;mq;mq;mq;101170;mq;mq;-1010;mq;mq;mq;mq;277.250000;mq;mq;9.100000;10.800000;-10;2;0.000000;mq;mq;0.200000;0.800000;6.400000;6.600000;6.600000;mq;mq;mq;mq;2;mq;600;4;mq;870;5;mq;1230;mq;mq;mq;
07020;20201201000000;102410;-10;7;320;8.900000;285.450000;282.850000;84;10000;2;2;mq;100;8;800;38;mq;mq;102300;mq;mq;-320;mq;mq;mq;mq;mq;mq;mq;12.300000;14.200000;-10;mq;mq;mq;mq;0.000000;0.000000;0.400000;0.600000;0.600000;mq;mq;mq;mq;8;6;900;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20201201000000;102330;-80;6;290;7.900000;283.150000;282.250000;94;18730;0;mq;mq;100;8;250;mq;mq;mq;101510;mq;mq;-460;mq;mq;mq;mq;280.350000;mq;mq;11.000000;12.600000;-10;2;0.000000;mq;mq;0.200000;0.200000;0.200000;0.200000;0.200000;mq;mq;mq;mq;6;mq;270;8;mq;450;mq;mq;mq;mq;mq;mq;
07037;20201201000000;102080;-130;6;310;5.000000;282.450000;281.850000;96;19930;0;mq;mq;100;6;450;mq;mq;mq;100230;mq;mq;-690;mq;mq;mq;mq;278.250000;mq;mq;7.300000;10.000000;-10;mq;0.000000;mq;mq;-0.100000;3.000000;3.000000;3.000000;3.000000;mq;mq;mq;mq;6;mq;330;8;mq;1860;mq;8;mq;mq;mq;mq;
07072;20201201000000;101930;-250;6;290;2.700000;277.850000;277.150000;95;4020;68;mq;mq;100;8;250;mq;mq;mq;100750;mq;mq;-820;mq;mq;mq;mq;273.550000;mq;mq;5.300000;5.700000;-10;2;mq;mq;mq;2.000000;4.200000;4.200000;4.200000;4.200000;mq;mq;mq;mq;8;mq;240;mq;8;mq;mq;mq;mq;mq;mq;mq;
07110;20201201000000;102840;-50;8;300;2.700000;283.150000;282.650000;97;4110;10;mq;mq;75;6;2250;mq;mq;mq;101640;mq;mq;120;mq;mq;mq;mq;280.150000;mq;mq;4.300000;4.700000;-10;1;0.000000;mq;mq;0.000000;0.200000;0.200000;0.200000;0.200000;mq;mq;mq;mq;5;mq;2460;5;mq;3060;6;mq;3600;mq;mq;mq;
07117;20201201000000;102700;-80;6;260;6.000000;284.150000;283.650000;97;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101990;mq;mq;-40;mq;mq;mq;mq;mq;mq;mq;10.900000;11.900000;-10;mq;mq;mq;mq;0.400000;1.200000;2.600000;2.600000;2.600000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20201201000000;102600;-140;8;260;4.000000;281.450000;281.150000;98;5960;0;mq;mq;100;8;1750;mq;mq;mq;102140;mq;mq;-70;mq;mq;mq;mq;278.850000;mq;mq;5.600000;5.900000;-10;2;0.000000;mq;mq;0.200000;0.400000;0.400000;0.400000;0.400000;mq;mq;mq;mq;6;mq;1740;8;mq;2880;mq;mq;mq;mq;mq;mq;
07139;20201201000000;102380;-120;6;250;3.800000;281.050000;280.450000;96;2350;58;mq;mq;100;8;250;mq;mq;mq;100600;mq;mq;-340;mq;mq;mq;mq;280.350000;mq;mq;5.900000;7.200000;-10;1;mq;mq;mq;-0.100000;0.200000;0.200000;0.200000;0.200000;mq;mq;mq;mq;8;mq;270;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07149;20201201000000;102110;-260;6;250;4.200000;279.050000;278.350000;95;5070;58;6;6;100;7;450;37;mq;mq;101000;mq;mq;-640;mq;mq;mq;mq;mq;mq;mq;6.900000;6.900000;-10;1;0.000000;0.000000;-60;-0.100000;0.400000;0.400000;0.400000;0.400000;mq;mq;mq;mq;7;7;390;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07168;20201201000000;102110;-300;8;230;7.600000;277.050000;273.050000;75;18610;0;mq;mq;100;8;450;mq;mq;mq;100640;mq;mq;-600;mq;mq;mq;mq;271.250000;mq;mq;10.400000;10.900000;-10;1;0.000000;mq;mq;-0.100000;-0.100000;-0.100000;-0.100000;0.200000;mq;mq;mq;mq;6;mq;390;7;mq;660;8;mq;900;mq;mq;mq;
07181;20201201000000;102080;-300;8;200;8.400000;273.850000;272.050000;88;10010;61;mq;mq;100;5;1250;mq;mq;mq;97830;mq;mq;-580;mq;mq;mq;mq;273.250000;mq;mq;11.600000;12.700000;-10;mq;mq;mq;mq;-0.100000;0.200000;0.400000;0.400000;0.400000;mq;mq;mq;mq;3;mq;1290;5;mq;1470;7;mq;1740;mq;8;mq;
07190;20201201000000;102140;-330;8;180;5.700000;273.950000;272.450000;90;6150;61;mq;mq;100;5;1250;mq;mq;mq;100240;mq;mq;-550;mq;mq;mq;mq;269.550000;mq;mq;9.300000;9.300000;-10;2;0.000000;mq;mq;0.600000;1.600000;1.600000;1.600000;1.600000;mq;mq;mq;mq;5;mq;1290;8;mq;1620;mq;8;mq;mq;mq;mq;
07207;20201201000000;102800;-100;6;310;6.100000;286.150000;280.550000;69;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;102280;mq;mq;250;mq;mq;mq;mq;mq;mq;mq;9.500000;9.500000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07222;20201201000000;102690;-140;8;220;0.500000;278.550000;276.750000;88;5660;0;mq;mq;100;8;2250;mq;mq;mq;102360;mq;mq;140;mq;mq;mq;mq;275.250000;mq;mq;1.100000;2.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;mq;2220;7;mq;2700;8;mq;3360;mq;mq;mq;
07240;20201201000000;102510;-170;8;260;1.600000;276.750000;274.950000;88;7160;60;mq;mq;100;4;450;mq;mq;mq;101110;mq;mq;-150;mq;mq;mq;mq;276.350000;mq;mq;3.300000;5.500000;-10;mq;0.000000;mq;mq;-0.100000;-0.100000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;3;mq;330;4;mq;1320;5;mq;1620;mq;mq;mq;
