numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20210101000000;100830;80;1;340;1.700000;271.350000;270.750000;96;13160;0;mq;mq;mq;mq;mq;mq;mq;mq;99920;mq;mq;570;mq;mq;mq;mq;272.650000;mq;mq;2.000000;3.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20210101000000;100730;110;2;300;1.500000;274.850000;274.150000;95;3890;54;mq;mq;100;8;450;mq;mq;mq;100150;mq;mq;420;mq;mq;mq;mq;272.150000;mq;mq;2.300000;3.800000;-10;2;0.000000;mq;mq;0.200000;0.200000;0.200000;0.200000;1.600000;mq;mq;mq;mq;3;mq;480;8;mq;690;mq;mq;mq;mq;mq;mq;
07020;20210101000000;100820;90;1;150;1.900000;274.750000;270.250000;72;14000;2;0;mq;50;4;1250;32;20;10;100710;mq;mq;600;mq;mq;mq;mq;mq;mq;mq;2.800000;4.200000;-10;mq;mq;mq;mq;-0.100000;-0.100000;0.400000;0.400000;0.400000;mq;mq;mq;mq;4;8;1000;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20210101000000;100850;80;1;270;1.000000;272.150000;271.150000;93;27170;0;mq;mq;75;2;1250;mq;mq;mq;100010;mq;mq;800;mq;mq;mq;mq;274.150000;mq;mq;1.300000;2.000000;-10;5;0.000000;mq;mq;0.000000;0.000000;0.200000;0.200000;1.400000;mq;mq;mq;mq;2;mq;1170;6;mq;3420;mq;mq;mq;mq;mq;mq;
07037;20210101000000;100850;80;1;340;1.400000;271.350000;270.750000;96;6530;0;mq;mq;90;7;3540;mq;mq;mq;98950;mq;mq;710;mq;mq;mq;mq;272.850000;mq;mq;1.500000;2.200000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;1.800000;mq;mq;mq;mq;7;mq;3540;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07072;20210101000000;100710;110;2;240;1.900000;274.650000;274.050000;96;5650;0;mq;mq;100;7;250;mq;mq;mq;99530;mq;mq;220;mq;mq;mq;mq;273.450000;mq;mq;2.500000;3.200000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.600000;4.000000;mq;mq;mq;mq;7;mq;270;8;mq;1560;mq;mq;mq;mq;mq;mq;
07110;20210101000000;100790;30;1;80;3.600000;274.550000;273.950000;96;11670;58;mq;mq;100;8;250;mq;mq;mq;99570;mq;mq;330;mq;mq;mq;mq;272.050000;mq;mq;4.700000;5.200000;-10;2;0.000000;mq;mq;0.800000;1.800000;4.200000;4.200000;6.400000;mq;mq;mq;mq;6;mq;240;7;mq;870;8;mq;1110;mq;9;mq;
07117;20210101000000;100810;50;3;290;1.700000;276.750000;274.750000;87;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100090;mq;mq;470;mq;mq;mq;mq;mq;mq;mq;3.700000;7.700000;-10;mq;mq;mq;mq;0.000000;0.000000;0.400000;0.600000;2.800000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20210101000000;100830;10;0;0;0.000000;270.650000;270.350000;98;100;49;mq;mq;101;9;30;mq;mq;mq;100360;mq;mq;560;mq;mq;mq;mq;272.550000;mq;mq;0.700000;1.700000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;1.400000;1.400000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20210101000000;100850;60;1;0;0.000000;272.850000;272.250000;96;5570;0;mq;mq;mq;4;1250;mq;mq;mq;99040;mq;mq;620;mq;mq;mq;mq;278.050000;mq;mq;0.000000;0.900000;-10;5;mq;mq;mq;0.000000;0.000000;0.000000;-0.100000;0.200000;mq;mq;mq;mq;4;mq;1470;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07149;20210101000000;100810;80;1;270;1.800000;272.750000;272.150000;96;990;2;0;0;10;1;800;35;20;10;99680;mq;mq;470;mq;mq;mq;mq;mq;mq;mq;2.500000;2.500000;-10;1;0.000000;0.000000;-60;0.000000;0.000000;0.000000;0.000000;2.000000;mq;mq;mq;mq;1;6;600;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07168;20210101000000;100750;80;1;270;2.400000;274.150000;272.850000;91;10430;0;mq;mq;100;8;450;mq;mq;mq;99290;mq;mq;130;mq;mq;mq;mq;271.550000;mq;mq;3.200000;3.600000;-10;1;0.000000;mq;mq;0.200000;0.200000;0.200000;0.800000;1.600000;mq;mq;mq;mq;2;mq;570;8;mq;1320;mq;mq;mq;mq;mq;mq;
