fra;clage_vacsi;jour;n_dose1;n_dose2;n_cum_dose1;n_cum_dose2
FR;74;2021-04-01;77277;11419;1314783;215010
FR;74;2021-04-02;69440;11836;1384223;226846
FR;74;2021-04-03;36865;8040;1421088;234886
FR;74;2021-04-04;12420;2706;1433508;237592
FR;74;2021-04-05;19085;1369;1452593;238961
FR;74;2021-04-06;62584;14803;1515177;253764
FR;74;2021-04-07;71815;14580;1586992;268344
FR;74;2021-04-08;86550;17895;1673542;286239
FR;74;2021-04-09;96154;16202;1769696;302441
FR;74;2021-04-10;48256;13293;1817952;315734
FR;74;2021-04-11;12681;6414;1830633;322148
FR;74;2021-04-12;60280;16409;1890913;338557
FR;74;2021-04-13;68067;20054;1958980;358611
FR;74;2021-04-14;59516;20285;2018496;378896
FR;74;2021-04-15;61260;22123;2079756;401019
FR;74;2021-04-16;51570;22903;2131326;423922
FR;74;2021-04-17;25468;16151;2156794;440073
FR;74;2021-04-18;5690;6806;2162484;446879
FR;74;2021-04-19;31351;23125;2193835;470004
FR;74;2021-04-20;35845;28261;2229680;498265
FR;74;2021-04-21;32820;28767;2262500;527032
FR;74;2021-04-22;37472;33624;2299972;560656
FR;74;2021-04-23;34063;37286;2334035;597942
FR;74;2021-04-24;18328;29730;2352363;627672
FR;79;2020-12-27;1;0;1;0
FR;79;2020-12-28;6;0;7;0
FR;79;2020-12-29;15;0;22;0
FR;79;2020-12-30;11;0;33;0
FR;79;2020-12-31;6;0;39;0
FR;79;2021-01-01;4;0;43;0
FR;79;2021-01-02;3;0;46;0
FR;79;2021-01-03;2;0;48;0
FR;79;2021-01-04;49;0;97;0
FR;79;2021-01-05;171;0;268;0
FR;79;2021-01-06;339;0;607;0
FR;79;2021-01-07;902;0;1509;0
FR;79;2021-01-08;1068;0;2577;0
FR;79;2021-01-09;364;0;2941;0
FR;79;2021-01-10;191;0;3132;0
FR;79;2021-01-11;1142;0;4274;0
FR;79;2021-01-12;2189;0;6463;0
FR;79;2021-01-13;2740;0;9203;0
FR;79;2021-01-14;4418;0;13621;0
FR;79;2021-01-15;5238;0;18859;0
FR;79;2021-01-16;2818;43;21677;43
FR;79;2021-01-17;1305;3;22982;46
FR;79;2021-01-18;19621;38;42603;84
FR;79;2021-01-19;25991;44;68594;128
FR;79;2021-01-20;28003;29;96597;157
FR;79;2021-01-21;30027;30;126624;187
FR;79;2021-01-22;27863;31;154487;218
FR;79;2021-01-23;11658;10;166145;228
FR;79;2021-01-24;2172;7;168317;235
FR;79;2021-01-25;22539;54;190856;289
FR;79;2021-01-26;25696;158;216552;447
FR;79;2021-01-27;24990;233;241542;680
FR;79;2021-01-28;25162;710;266704;1390
FR;79;2021-01-29;22520;640;289224;2030
FR;79;2021-01-30;8781;150;298005;2180
FR;79;2021-01-31;1229;69;299234;2249
FR;79;2021-02-01;16127;787;315361;3036
FR;79;2021-02-02;19250;1577;334611;4613
FR;79;2021-02-03;18280;1886;352891;6499
FR;79;2021-02-04;19154;2972;372045;9471
FR;79;2021-02-05;18007;2864;390052;12335
FR;79;2021-02-06;6449;1084;396501;13419
FR;79;2021-02-07;871;503;397372;13922
FR;79;2021-02-08;13080;6175;410452;20097
FR;79;2021-02-09;15541;8290;425993;28387
FR;79;2021-02-10;15433;8721;441426;37108
FR;79;2021-02-11;16511;10320;457937;47428
FR;79;2021-02-12;15658;9689;473595;57117
FR;79;2021-02-13;5003;4253;478598;61370
FR;79;2021-02-14;901;1116;479499;62486
FR;79;2021-02-15;7126;20280;486625;82766
FR;79;2021-02-16;8327;23602;494952;106368
FR;79;2021-02-17;8243;24912;503195;131280
FR;79;2021-02-18;10265;25389;513460;156669
FR;79;2021-02-19;10296;21084;523756;177753
FR;79;2021-02-20;3766;8741;527522;186494
FR;79;2021-02-21;548;1496;528070;187990
FR;79;2021-02-22;6979;22231;535049;210221
FR;79;2021-02-23;9624;23849;544673;234070
FR;79;2021-02-24;10014;22586;554687;256656
FR;79;2021-02-25;11638;21878;566325;278534
FR;79;2021-02-26;12038;19047;578363;297581
FR;79;2021-02-27;4415;6999;582778;304580
FR;79;2021-02-28;873;976;583651;305556
FR;79;2021-03-01;12102;16879;595753;322435
FR;79;2021-03-02;16285;19338;612038;341773
FR;79;2021-03-03;17689;18141;629727;359914
FR;79;2021-03-04;20824;18220;650551;378134
FR;79;2021-03-05;22383;15927;672934;394061
FR;79;2021-03-06;28916;5157;701850;399218
FR;79;2021-03-07;21024;696;722874;399914
FR;79;2021-03-08;17324;14761;740198;414675
FR;79;2021-03-09;25672;15993;765870;430668
FR;79;2021-03-10;26799;15247;792669;445915
FR;79;2021-03-11;31721;14826;824390;460741
FR;79;2021-03-12;33260;12500;857650;473241
FR;79;2021-03-13;25217;4072;882867;477313
FR;79;2021-03-14;9453;629;892320;477942
FR;79;2021-03-15;28385;8061;920705;486003
FR;79;2021-03-16;32747;8712;953452;494715
FR;79;2021-03-17;33700;8496;987152;503211
FR;79;2021-03-18;36597;8962;1023749;512173
FR;79;2021-03-19;36602;8065;1060351;520238
FR;79;2021-03-20;20634;2857;1080985;523095
FR;79;2021-03-21;5870;413;1086855;523508
FR;79;2021-03-22;28511;8605;1115366;532113
FR;79;2021-03-23;36938;10200;1152304;542313
FR;79;2021-03-24;35448;10660;1187752;552973
FR;79;2021-03-25;41753;10466;1229505;563439
FR;79;2021-03-26;39259;9822;1268764;573261
FR;79;2021-03-27;17592;4265;1286356;577526
FR;79;2021-03-28;4719;1271;1291075;578797
FR;79;2021-03-29;22105;14164;1313180;592961
FR;79;2021-03-30;27750;18451;1340930;611412
FR;79;2021-03-31;24455;19520;1365385;630932
FR;79;2021-04-01;26760;24213;1392145;655145
FR;79;2021-04-02;22829;25040;1414974;680185
FR;79;2021-04-03;9916;17328;1424890;697513
FR;79;2021-04-04;2784;5034;1427674;702547
FR;79;2021-04-05;4157;2540;1431831;705087
FR;79;2021-04-06;18357;29804;1450188;734891
FR;79;2021-04-07;20765;28821;1470953;763712
FR;79;2021-04-08;24691;28730;1495644;792442
FR;79;2021-04-09;26525;26983;1522169;819425
FR;79;2021-04-10;13556;18402;1535725;837827
FR;79;2021-04-11;3478;6191;1539203;844018
FR;79;2021-04-12;16557;28442;1555760;872460
FR;79;2021-04-13;18881;33857;1574641;906317
FR;79;2021-04-14;17921;32122;1592562;938439
FR;79;2021-04-15;18832;32795;1611394;971234
FR;79;2021-04-16;15961;30132;1627355;1001366
FR;79;2021-04-17;8056;16039;1635411;1017405
FR;79;2021-04-18;1751;4736;1637162;1022141
FR;79;2021-04-19;9670;28342;1646832;1050483
FR;79;2021-04-20;11494;33374;1658326;1083857
FR;79;2021-04-21;11052;30311;1669378;1114168
FR;79;2021-04-22;12565;30150;1681943;1144318
FR;79;2021-04-23;11570;26748;1693513;1171066
FR;79;2021-04-24;6021;13211;1699534;1184277
FR;80;2020-12-27;10;0;10;0
FR;80;2020-12-28;41;0;51;0
FR;80;2020-12-29;78;0;129;0
FR;80;2020-12-30;69;0;198;0
FR;80;2020-12-31;49;0;247;0
FR;80;2021-01-01;8;0;255;0
FR;80;2021-01-02;8;0;263;0
FR;80;2021-01-03;2;0;265;0
FR;80;2021-01-04;296;0;561;0
FR;80;2021-01-05;908;0;1469;0
FR;80;2021-01-06;1671;0;3140;0
FR;80;2021-01-07;6282;0;9422;0
FR;80;2021-01-08;5699;0;15121;0
FR;80;2021-01-09;979;0;16100;0
FR;80;2021-01-10;307;0;16407;0
FR;80;2021-01-11;4425;0;20832;0
FR;80;2021-01-12;12607;0;33439;0
FR;80;2021-01-13;12376;0;45815;0
FR;80;2021-01-14;18135;0;63950;0
FR;80;2021-01-15;12033;0;75983;0
FR;80;2021-01-16;4029;127;80012;127
FR;80;2021-01-17;3741;17;83753;144
FR;80;2021-01-18;28698;65;112451;209
FR;80;2021-01-19;53597;119;166048;328
FR;80;2021-01-20;59310;87;225358;415
FR;80;2021-01-21;69856;66;295214;481
FR;80;2021-01-22;48203;76;343417;557
FR;80;2021-01-23;16210;12;359627;569
FR;80;2021-01-24;4309;3;363936;572
FR;80;2021-01-25;32368;220;396304;792
FR;80;2021-01-26;44947;792;441251;1584
FR;80;2021-01-27;50824;1347;492075;2931
FR;80;2021-01-28;59858;5143;551933;8074
FR;80;2021-01-29;39293;4019;591226;12093
FR;80;2021-01-30;13221;654;604447;12747
FR;80;2021-01-31;2331;242;606778;12989
FR;80;2021-02-01;22973;3217;629751;16206
FR;80;2021-02-02;33422;9837;663173;26043
FR;80;2021-02-03;34378;9588;697551;35631
FR;80;2021-02-04;38001;15760;735552;51391
FR;80;2021-02-05;29744;9830;765296;61221
FR;80;2021-02-06;9697;2038;774993;63259
FR;80;2021-02-07;1448;2111;776441;65370
FR;80;2021-02-08;19326;12385;795767;77755
FR;80;2021-02-09;25864;29818;821631;107573
FR;80;2021-02-10;26269;33011;847900;140584
FR;80;2021-02-11;30424;44628;878324;185212
FR;80;2021-02-12;26665;23949;904989;209161
FR;80;2021-02-13;7920;5988;912909;215149
FR;80;2021-02-14;1507;2529;914416;217678
FR;80;2021-02-15;11109;26945;925525;244623
FR;80;2021-02-16;15492;38398;941017;283021
FR;80;2021-02-17;15905;46629;956922;329650
FR;80;2021-02-18;21430;56478;978352;386128
FR;80;2021-02-19;19009;36572;997361;422700
FR;80;2021-02-20;6298;12052;1003659;434752
FR;80;2021-02-21;913;2364;1004572;437116
FR;80;2021-02-22;11150;29384;1015722;466500
FR;80;2021-02-23;17017;37031;1032739;503531
FR;80;2021-02-24;17952;37764;1050691;541295
FR;80;2021-02-25;22193;40772;1072884;582067
FR;80;2021-02-26;20477;29669;1093361;611736
FR;80;2021-02-27;7166;10195;1100527;621931
FR;80;2021-02-28;1259;1640;1101786;623571
FR;80;2021-03-01;18712;22882;1120498;646453
FR;80;2021-03-02;26813;28929;1147311;675382
FR;80;2021-03-03;28611;28674;1175922;704056
FR;80;2021-03-04;34713;31150;1210635;735206
FR;80;2021-03-05;35762;26381;1246397;761587
FR;80;2021-03-06;41224;7739;1287621;769326
FR;80;2021-03-07;29633;1041;1317254;770367
FR;80;2021-03-08;27103;20908;1344357;791275
FR;80;2021-03-09;40577;23704;1384934;814979
FR;80;2021-03-10;42944;24560;1427878;839539
FR;80;2021-03-11;51432;26854;1479310;866393
FR;80;2021-03-12;51875;21952;1531185;888345
FR;80;2021-03-13;37317;6567;1568502;894912
FR;80;2021-03-14;13870;1021;1582372;895933
FR;80;2021-03-15;43949;12509;1626321;908442
FR;80;2021-03-16;51701;15682;1678022;924124
FR;80;2021-03-17;54491;14734;1732513;938858
FR;80;2021-03-18;58315;17761;1790828;956619
FR;80;2021-03-19;57206;14194;1848034;970813
FR;80;2021-03-20;30908;4689;1878942;975502
FR;80;2021-03-21;8678;589;1887620;976091
FR;80;2021-03-22;42712;13055;1930332;989146
FR;80;2021-03-23;55391;16929;1985723;1006075
FR;80;2021-03-24;54276;17778;2039999;1023853
FR;80;2021-03-25;63678;18713;2103677;1042566
FR;80;2021-03-26;59911;16961;2163588;1059527
FR;80;2021-03-27;26508;7043;2190096;1066570
FR;80;2021-03-28;6838;1772;2196934;1068342
FR;80;2021-03-29;32571;21973;2229505;1090315
FR;80;2021-03-30;42671;29765;2272176;1120080
FR;80;2021-03-31;40095;31789;2312271;1151869
FR;80;2021-04-01;45273;39372;2357544;1191241
FR;80;2021-04-02;36689;40561;2394233;1231802
FR;80;2021-04-03;14336;25972;2408569;1257774
FR;80;2021-04-04;3829;7427;2412398;1265201
FR;80;2021-04-05;5556;3711;2417954;1268912
FR;80;2021-04-06;26693;46328;2444647;1315240
FR;80;2021-04-07;32806;47083;2477453;1362323
FR;80;2021-04-08;39261;47747;2516714;1410070
FR;80;2021-04-09;42749;44280;2559463;1454350
FR;80;2021-04-10;19683;27935;2579146;1482285
FR;80;2021-04-11;4804;8856;2583950;1491141
FR;80;2021-04-12;23197;44248;2607147;1535389
FR;80;2021-04-13;29733;52898;2636880;1588287
FR;80;2021-04-14;28502;50533;2665382;1638820
FR;80;2021-04-15;30636;51766;2696018;1690586
FR;80;2021-04-16;25792;47514;2721810;1738100
FR;80;2021-04-17;12182;24517;2733992;1762617
FR;80;2021-04-18;2501;7340;2736493;1769957
FR;80;2021-04-19;13966;42270;2750459;1812227
FR;80;2021-04-20;17497;51196;2767956;1863423
FR;80;2021-04-21;17451;48490;2785407;1911913
FR;80;2021-04-22;19859;49353;2805266;1961266
FR;80;2021-04-23;18324;42699;2823590;2003965
FR;80;2021-04-24;9092;20237;2832682;2024202
FR;0;2020-12-27;17;0;17;0
FR;0;2020-12-28;59;0;76;0
FR;0;2020-12-29;107;0;183;0
FR;0;2020-12-30;115;0;298;0
FR;0;2020-12-31;83;0;381;0
FR;0;2021-01-01;55;0;436;0
FR;0;2021-01-02;71;0;507;0
FR;0;2021-01-03;87;0;594;0
FR;0;2021-01-04;1462;0;2056;0
FR;0;2021-01-05;5352;0;7408;0
FR;0;2021-01-06;11247;0;18655;0
FR;0;2021-01-07;28447;0;47102;0
FR;0;2021-01-08;35878;0;82980;0
FR;0;2021-01-09;10865;0;93845;0
FR;0;2021-01-10;5599;0;99444;0
FR;0;2021-01-11;38711;0;138155;0
FR;0;2021-01-12;60303;0;198458;0
FR;0;2021-01-13;63328;0;261786;0
FR;0;2021-01-14;79419;0;341205;0
FR;0;2021-01-15;66872;0;408077;0
FR;0;2021-01-16;19571;651;427648;651
FR;0;2021-01-17;10446;40;438094;691
FR;0;2021-01-18;84057;187;522151;878
FR;0;2021-01-19;127744;227;649895;1105
FR;0;2021-01-20;134502;154;784397;1259
FR;0;2021-01-21;154501;156;938898;1415
FR;0;2021-01-22;117871;222;1056769;1637
FR;0;2021-01-23;37710;83;1094479;1720
FR;0;2021-01-24;9315;104;1103794;1824
FR;0;2021-01-25;76555;1498;1180349;3322
FR;0;2021-01-26;98243;3923;1278592;7245
FR;0;2021-01-27;105314;6795;1383906;14040
FR;0;2021-01-28;121774;17505;1505680;31545
FR;0;2021-01-29;90600;19612;1596280;51157
FR;0;2021-01-30;28594;4660;1624874;55817
FR;0;2021-01-31;4855;1907;1629729;57724
FR;0;2021-02-01;51340;24110;1681069;81834
FR;0;2021-02-02;70277;40618;1751346;122452
FR;0;2021-02-03;70742;41851;1822088;164303
FR;0;2021-02-04;80045;58541;1902133;222844
FR;0;2021-02-05;66733;49446;1968866;272290
FR;0;2021-02-06;21206;11374;1990072;283664
FR;0;2021-02-07;4810;6447;1994882;290111
FR;0;2021-02-08;45692;50008;2040574;340119
FR;0;2021-02-09;64500;82171;2105074;422290
FR;0;2021-02-10;68832;87139;2173906;509429
FR;0;2021-02-11;84977;109869;2258883;619298
FR;0;2021-02-12;77156;75551;2336039;694849
FR;0;2021-02-13;21535;18651;2357574;713500
FR;0;2021-02-14;4539;6747;2362113;720247
FR;0;2021-02-15;36743;74955;2398856;795202
FR;0;2021-02-16;48791;96415;2447647;891617
FR;0;2021-02-17;49013;107735;2496660;999352
FR;0;2021-02-18;67181;125226;2563841;1124578
FR;0;2021-02-19;63213;90798;2627054;1215376
FR;0;2021-02-20;17848;27636;2644902;1243012
FR;0;2021-02-21;2836;5380;2647738;1248392
FR;0;2021-02-22;36131;70695;2683869;1319087
FR;0;2021-02-23;52079;83515;2735948;1402602
FR;0;2021-02-24;57536;82443;2793484;1485045
FR;0;2021-02-25;97505;88490;2890989;1573535
FR;0;2021-02-26;110628;68919;3001617;1642454
FR;0;2021-02-27;50602;22056;3052219;1664510
FR;0;2021-02-28;5616;3572;3057835;1668082
FR;0;2021-03-01;62855;52394;3120690;1720476
FR;0;2021-03-02;98399;66232;3219089;1786708
FR;0;2021-03-03;112271;64196;3331360;1850904
FR;0;2021-03-04;157766;72989;3489126;1923893
FR;0;2021-03-05;195451;61045;3684577;1984938
FR;0;2021-03-06;201954;16715;3886531;2001653
FR;0;2021-03-07;118775;2390;4005306;2004043
FR;0;2021-03-08;103769;46740;4109075;2050783
FR;0;2021-03-09;168003;53896;4277078;2104679
FR;0;2021-03-10;173931;55535;4451009;2160214
FR;0;2021-03-11;236926;62905;4687935;2223119
FR;0;2021-03-12;288219;51824;4976154;2274943
FR;0;2021-03-13;226242;14702;5202396;2289645
FR;0;2021-03-14;61911;2445;5264307;2292090
FR;0;2021-03-15;154631;29298;5418938;2321388
FR;0;2021-03-16;138754;36991;5557692;2358379
FR;0;2021-03-17;147237;35783;5704929;2394162
FR;0;2021-03-18;164213;42644;5869142;2436806
FR;0;2021-03-19;225208;34873;6094350;2471679
FR;0;2021-03-20;163821;10833;6258171;2482512
FR;0;2021-03-21;48632;1489;6306803;2484001
FR;0;2021-03-22;166161;31866;6472964;2515867
FR;0;2021-03-23;245462;40782;6718426;2556649
FR;0;2021-03-24;252016;42072;6970442;2598721
FR;0;2021-03-25;335495;44204;7305937;2642925
FR;0;2021-03-26;352660;40328;7658597;2683253
FR;0;2021-03-27;192038;16597;7850635;2699850
FR;0;2021-03-28;57640;4721;7908275;2704571
FR;0;2021-03-29;198184;51403;8106459;2755974
FR;0;2021-03-30;278141;68882;8384600;2824856
FR;0;2021-03-31;255860;73235;8640460;2898091
FR;0;2021-04-01;303678;93151;8944138;2991242
FR;0;2021-04-02;274321;95189;9218459;3086431
FR;0;2021-04-03;137784;62348;9356243;3148779
FR;0;2021-04-04;44511;18852;9400754;3167631
FR;0;2021-04-05;58301;9767;9459055;3177398
FR;0;2021-04-06;206617;112803;9665672;3290201
FR;0;2021-04-07;251896;113348;9917568;3403549
FR;0;2021-04-08;326648;121645;10244216;3525194
FR;0;2021-04-09;398759;115354;10642975;3640548
FR;0;2021-04-10;208494;81841;10851469;3722389
FR;0;2021-04-11;54632;33464;10906101;3755853
FR;0;2021-04-12;230790;113317;11136891;3869170
FR;0;2021-04-13;300752;140259;11437643;4009429
FR;0;2021-04-14;285274;137079;11722917;4146508
FR;0;2021-04-15;325737;146213;12048654;4292721
FR;0;2021-04-16;328597;143568;12377251;4436289
FR;0;2021-04-17;184218;88656;12561469;4524945
FR;0;2021-04-18;49957;35038;12611426;4559983
FR;0;2021-04-19;198652;135430;12810078;4695413
FR;0;2021-04-20;245109;168027;13055187;4863440
FR;0;2021-04-21;241529;166228;13296716;5029668
FR;0;2021-04-22;273207;184714;13569923;5214382
FR;0;2021-04-23;278684;178781;13848607;5393163
FR;0;2021-04-24;184140;109231;14032747;5502394
