fra;jour;P_f;P_h;P;pop_f;pop_h;pop;cl_age90
FR;2020-05-13;7;6;13;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-05-13;21;7;28;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-05-13;64;41;105;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-05-13;66;43;109;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-05-13;63;41;104;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-05-13;64;53;117;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-05-13;36;54;92;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-05-13;40;48;89;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-05-13;81;40;121;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-05-13;87;26;113;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-05-13;537;361;901;34692807.7476749;32422187.2523251;67114995;0
FR;2020-05-14;8;5;18;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-05-14;14;25;42;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-05-14;54;61;116;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-05-14;63;50;113;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-05-14;65;53;121;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-05-14;73;54;129;4494308.44474725;4298366.32326346;8792674.76801071;59
FR;2020-05-14;34;40;86;4209745.81020426;3794336.95009999;8004082.76030424;69
FR;2020-05-14;39;45;84;3096658.17457622;2598980.95622107;5695639.1307973;79
FR;2020-05-14;97;62;165;1993317.74632008;1251962.86181089;3245280.60813097;89
FR;2020-05-14;102;17;119;672069.992695578;240510.613577276;912580.606272853;90
FR;2020-05-14;561;418;1013;34692807.7476749;32422187.2523251;67114995;0
FR;2020-05-15;8;8;16;3802089.59193844;3961116.09433445;7763205.68627289;09
FR;2020-05-15;16;23;41;4066326.89515592;4270159.26538131;8336486.16053724;19
FR;2020-05-15;66;64;134;3736780.48185837;3740006.70594574;7476787.18780411;29
FR;2020-05-15;63;65;132;4266384.08361496;4028987.84832459;8295371.93193955;39
FR;2020-05-15;57;55;115;4355126.52656384;4237759.6333663;8592886.15993014;49
FR;2020-05-15;66;60;129;4494308.44474725;4298366.32326346;8792674.76801071;59
