"dataset.id";"dataset.title";"dataset.slug";"dataset.url";"dataset.organization";"dataset.organization_id";"dataset.license";"dataset.private";"id";"url";"title";"description";"filetype";"format";"mime";"filesize";"checksum.type";"checksum.value";"created_at";"modified";"downloads"
"608958c983b331618ffc97f9";"Données de laboratoires pour le dépistage, focus par niveau scolaire";"donnees-de-laboratoires-pour-le-depistage-focus-par-niveau-scolaire";"https://www.data.gouv.fr/fr/datasets/donnees-de-laboratoires-pour-le-depistage-focus-par-niveau-scolaire/";"Santé publique France";"5e721a395d57f93d0bed451f";"Licence Ouverte / Open Licence version 2.0";False;"92dd4589-7bb9-4f22-889b-a79de3155358";"https://static.data.gouv.fr/resources/donnees-de-laboratoires-pour-le-depistage-focus-par-niveau-scolaire/20210728-190850/sp-18ans-fra-2021-07-28-19h08.csv";"sp-18ans-fra-2021-07-28-19h08.csv";"SIDEP - Indicateurs nationaux - Niveaux scolaires";"file";"csv";"text/csv";14552;"sha1";"ba1394dc2db72ed4d17ebfa884d0849c2bb08cd4";"2021-04-29T11:09:45.248000";"2021-07-28T19:08:50.291000";2
"608958c983b331618ffc97f9";"Données de laboratoires pour le dépistage, focus par niveau scolaire";"donnees-de-laboratoires-pour-le-depistage-focus-par-niveau-scolaire";"https://www.data.gouv.fr/fr/datasets/donnees-de-laboratoires-pour-le-depistage-focus-par-niveau-scolaire/";"Santé publique France";"5e721a395d57f93d0bed451f";"Licence Ouverte / Open Licence version 2.0";False;"52c5d780-5ecb-4b6f-980d-de0e34e3e65f";"https://static.data.gouv.fr/resources/donnees-de-laboratoires-pour-le-depistage-focus-par-niveau-scolaire/20210728-190849/sp-18ans-reg-2021-07-28-19h08.csv";"sp-18ans-reg-2021-07-28-19h08.csv";"SIDEP - Indicateurs régionaux - Niveaux scolaires";"file";"csv";"text/csv";283339;"sha1";"a2caa2d5e7fd8662322ccd9fc24d8393e338cb38";"2021-04-29T11:09:26.739000";"2021-07-28T19:08:49.359000";0
"608958c983b331618ffc97f9";"Données de laboratoires pour le dépistage, focus par niveau scolaire";"donnees-de-laboratoires-pour-le-depistage-focus-par-niveau-scolaire";"https://www.data.gouv.fr/fr/datasets/donnees-de-laboratoires-pour-le-depistage-focus-par-niveau-scolaire/";"Santé publique France";"5e721a395d57f93d0bed451f";"Licence Ouverte / Open Licence version 2.0";False;"c0f59f00-3ab2-4f31-8a05-d317b43e9055";"https://static.data.gouv.fr/resources/donnees-de-laboratoires-pour-le-depistage-focus-par-niveau-scolaire/20210728-190847/sp-18ans-dep-2021-07-28-19h08.csv";"sp-18ans-dep-2021-07-28-19h08.csv";"SIDEP - Indicateurs départementaux - Niveaux scolaires";"file";"csv";"text/csv";1446402;"sha1";"c8d03facf406ddf22f4c824005b6a76b49c4badd";"2021-04-29T11:08:46.779000";"2021-07-28T19:08:48.279000";0
"60dd8e92b9d32e9afdc23491";"Données de laboratoires pour le dépistage : Indicateurs sur les mutations";"donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-mutations";"https://www.data.gouv.fr/fr/datasets/donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-mutations/";"Santé publique France";"5e721a395d57f93d0bed451f";"Licence Ouverte / Open Licence version 2.0";False;"28983732-6e63-4aa1-b651-a5fa9158584e";"https://static.data.gouv.fr/resources/donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-mutations/20210701-115753/2021-07-01-note-methodologique-mutation.pdf";"Note-methodologique-mutation-2021-07-01.pdf";"";"file";"pdf";"application/pdf";546293;"sha1";"b58d127b88b8792433372143f761259bf7a8958b";"2021-07-01T11:57:53.970000";"2021-07-01T11:58:08.511000";19
"60dd8e92b9d32e9afdc23491";"Données de laboratoires pour le dépistage : Indicateurs sur les mutations";"donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-mutations";"https://www.data.gouv.fr/fr/datasets/donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-mutations/";"Santé publique France";"5e721a395d57f93d0bed451f";"Licence Ouverte / Open Licence version 2.0";False;"4d3e5a8b-9649-4c41-86ec-5420eb6b530c";"https://static.data.gouv.fr/resources/donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-mutations/20210729-190937/sp-mutations-7j-dep-2021-07-29-19h09.csv";"sp-mutations-7j-dep-2021-07-29-19h09.csv";"Données sur la présence des mutations d’intérêts - Départements";"file";"csv";"text/csv";504162;"sha1";"2234f3583905fdafc53fa0b2863a34aee979adba";"2021-07-01T11:56:29.695000";"2021-07-29T19:09:37.586000";7
"60dd8e92b9d32e9afdc23491";"Données de laboratoires pour le dépistage : Indicateurs sur les mutations";"donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-mutations";"https://www.data.gouv.fr/fr/datasets/donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-mutations/";"Santé publique France";"5e721a395d57f93d0bed451f";"Licence Ouverte / Open Licence version 2.0";False;"5ff0cad6-f150-47ea-a4e0-57e354c1b2a4";"https://static.data.gouv.fr/resources/donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-mutations/20210729-190939/sp-mutations-7j-reg-2021-07-29-19h09.csv";"sp-mutations-7j-reg-2021-07-29-19h09.csv";"Données sur la présence des mutations d’intérêts - Régions";"file";"csv";"text/csv";105366;"sha1";"26cb9e70b3a0c9b2eef340c6ce66011461c2e2c3";"2021-07-01T11:55:57.764000";"2021-07-29T19:09:39.726000";2
"60dd8e92b9d32e9afdc23491";"Données de laboratoires pour le dépistage : Indicateurs sur les mutations";"donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-mutations";"https://www.data.gouv.fr/fr/datasets/donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-mutations/";"Santé publique France";"5e721a395d57f93d0bed451f";"Licence Ouverte / Open Licence version 2.0";False;"848debc4-0e42-4e3b-a176-afc285ed5401";"https://static.data.gouv.fr/resources/donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-mutations/20210729-190938/sp-mutations-7j-fra-2021-07-29-19h09.csv";"sp-mutations-7j-fra-2021-07-29-19h09.csv";"Données sur la présence des mutations d'intérêts - France";"file";"csv";"text/csv";5856;"sha1";"a794b97b9d090c0b5842e968603affd9b30755c6";"2021-07-01T11:45:00.396000";"2021-07-29T19:09:38.682000";11
"6045e56d7a1eafe5448eaa62";"Données de laboratoires pour le dépistage : Indicateurs sur les variants";"donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-variants";"https://www.data.gouv.fr/fr/datasets/donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-variants/";"Santé publique France";"5e721a395d57f93d0bed451f";"Licence Ouverte / Open Licence version 2.0";False;"c43d7f3f-c9f5-436b-9b26-728f80e0fd52";"https://static.data.gouv.fr/resources/donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-variants/20210609-190524/sp-variant-7j-fra-2021-06-09-19h05.csv";"sp-variant-7j-fra-2021-06-09-19h05.csv";"Indicateurs variants - semaine glissante - france";"file";"csv";"text/csv";88402;"sha1";"549bc1d58fb9a53b08016f677b002571e2647f08";"2021-03-08T10:25:28.332000";"2021-06-09T19:05:24.590000";127
"6045e56d7a1eafe5448eaa62";"Données de laboratoires pour le dépistage : Indicateurs sur les variants";"donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-variants";"https://www.data.gouv.fr/fr/datasets/donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-variants/";"Santé publique France";"5e721a395d57f93d0bed451f";"Licence Ouverte / Open Licence version 2.0";False;"73e8851a-d851-43f8-89e4-6178b35b7127";"https://static.data.gouv.fr/resources/donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-variants/20210609-190523/sp-variant-7j-reg-2021-06-09-19h05.csv";"sp-variant-7j-reg-2021-06-09-19h05.csv";"Indicateurs variants - semaine glissante - région";"file";"csv";"text/csv";1536543;"sha1";"b61a613d94f9f755711e4b70d1011a1c6bc924f9";"2021-03-08T10:24:56.321000";"2021-06-09T19:05:23.794000";13
"6045e56d7a1eafe5448eaa62";"Données de laboratoires pour le dépistage : Indicateurs sur les variants";"donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-variants";"https://www.data.gouv.fr/fr/datasets/donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-variants/";"Santé publique France";"5e721a395d57f93d0bed451f";"Licence Ouverte / Open Licence version 2.0";False;"16f4fd03-797f-4616-bca9-78ff212d06e8";"https://static.data.gouv.fr/resources/donnees-de-laboratoires-pour-le-depistage-indicateurs-sur-les-variants/20210609-190522/sp-variant-7j-dep-2021-06-09-19h05.csv";"sp-variant-7j-dep-2021-06-09-19h05.csv";"Indicateurs variants - semaine glissante - département";"file";"csv";"text/csv";7592697;"sha1";"28a0b78dfb83e32e5ce1824ad543e2d3c39eea3e";"2021-03-08T10:22:20.038000";"2021-06-09T19:05:22.578000";85
