code_spf;categorie_fine;categorie-large;population
9;0 - 9 ans;0-17 ans;7410000
17;10 - 17 ans;0-17 ans;6380000
24;18 - 24 ans;18-29 ans;5240000
29;25 - 29 ans;18-29 ans;3590000
39;30 - 39 ans;30-49 ans;8030000
49;40 - 49 ans;30-49 ans;8320000
59;50 - 59 ans;50-64 ans;8490000
64;60 -64 ans;50-64 ans;3980000
69;65 - 69 ans;65-74 ans;3800000
74;70 - 74 ans;65-74 ans;3400000
79;75 - 79 ans;75 ans et plus;2170000
80;80 ans et plus;75 ans et plus;4080000
