fra;jour;clage_vacsi;n_dose1
FR;2021-01-13;74;2753,00
FR;2021-01-13;79;2482,00
FR;2021-01-13;80;11529,00
FR;2021-01-14;0;68129,00
FR;2021-01-14;24;351,00
FR;2021-01-14;29;1189,00
FR;2021-01-14;39;3840,00
FR;2021-01-14;49;6548,00
FR;2021-01-14;59;20642,00
FR;2021-01-14;64;8238,00
FR;2021-01-14;69;4296,00
FR;2021-01-14;74;3324,00
FR;2021-01-14;79;3644,00
FR;2021-01-14;80;16040,00
FR;2021-01-15;0;56560,00
FR;2021-01-15;24;321,00
FR;2021-01-15;29;996,00
FR;2021-01-15;39;3400,00
FR;2021-01-15;49;5955,00
FR;2021-01-15;59;17645,00
FR;2021-01-15;64;6901,00
FR;2021-01-15;69;3481,00
FR;2021-01-15;74;2841,00
FR;2021-01-15;79;4140,00
FR;2021-01-15;80;10867,00
FR;2021-01-16;0;16910,00
FR;2021-01-16;24;78,00
FR;2021-01-16;29;152,00
FR;2021-01-16;39;651,00
FR;2021-01-16;49;1121,00
FR;2021-01-16;59;4650,00
FR;2021-01-16;64;2145,00
FR;2021-01-16;69;1265,00
FR;2021-01-16;74;991,00
FR;2021-01-16;79;2163,00
FR;2021-01-16;80;3688,00
FR;2021-01-17;0;9197,00
FR;2021-01-17;24;57,00
FR;2021-01-17;29;102,00
FR;2021-01-17;39;448,00
FR;2021-01-17;49;511,00
FR;2021-01-17;59;1513,00
FR;2021-01-17;64;777,00
FR;2021-01-17;69;561,00
FR;2021-01-17;74;584,00
FR;2021-01-17;79;1098,00
FR;2021-01-17;80;3541,00
FR;2021-01-18;0;74481,00
FR;2021-01-18;24;259,00
FR;2021-01-18;29;840,00
FR;2021-01-18;39;2494,00
FR;2021-01-18;49;4004,00
FR;2021-01-18;59;11438,00
FR;2021-01-18;64;4528,00
FR;2021-01-18;69;2881,00
FR;2021-01-18;74;3324,00
FR;2021-01-18;79;16574,00
FR;2021-01-18;80;28136,00
FR;2021-01-19;0;115015,00
FR;2021-01-19;24;376,00
FR;2021-01-19;29;895,00
FR;2021-01-19;39;3310,00
FR;2021-01-19;49;5449,00
FR;2021-01-19;59;15054,00
FR;2021-01-19;64;6294,00
FR;2021-01-19;69;4271,00
FR;2021-01-19;74;5136,00
FR;2021-01-19;79;22138,00
FR;2021-01-19;80;52083,00
FR;2021-01-20;0;120272,00
FR;2021-01-20;24;398,00
FR;2021-01-20;29;922,00
FR;2021-01-20;39;3226,00
FR;2021-01-20;49;5242,00
FR;2021-01-20;59;14183,00
FR;2021-01-20;64;5900,00
FR;2021-01-20;69;4064,00
FR;2021-01-20;74;5216,00
FR;2021-01-20;79;23530,00
FR;2021-01-20;80;57582,00
